track_id,frames_seen,first_frame,last_frame,first_time_seconds,last_time_seconds,duration_tracked_seconds,avg_confidence,start_x,start_y,end_x,end_y
7,222,9,239,0.36,9.56,9.2,0.871,463,280,114,260
4,185,0,194,0.0,7.76,7.76,0.807,1143,279,1064,290
36,167,125,321,5.0,12.84,7.84,0.832,487,264,1119,323
1,138,0,137,0.0,5.48,5.48,0.884,1071,251,1125,309
50,86,185,285,7.4,11.4,4.0,0.852,996,246,698,393
65,85,231,317,9.24,12.68,3.44,0.623,892,286,1167,309
39,82,131,229,5.24,9.16,3.92,0.829,744,255,1233,262
6,80,0,83,0.0,3.32,3.32,0.718,398,279,15,247
71,63,289,351,11.56,14.04,2.48,0.925,124,216,760,259
5,61,0,60,0.0,2.4,2.4,0.726,905,278,686,260
47,46,178,223,7.12,8.92,1.8,0.848,71,299,1166,406
8,45,9,53,0.36,2.12,1.76,0.6,971,292,787,271
3,42,0,41,0.0,1.64,1.64,0.674,991,278,922,262
13,38,60,97,2.4,3.88,1.48,0.802,796,257,782,227
44,38,163,205,6.52,8.2,1.68,0.798,1270,271,1265,269
15,35,68,111,2.72,4.44,1.72,0.462,1121,241,997,246
33,29,119,151,4.76,6.04,1.28,0.539,1144,298,1134,291
48,20,183,202,7.32,8.08,0.76,0.826,717,160,1205,293
37,20,127,146,5.08,5.84,0.76,0.822,578,248,654,269
30,19,115,133,4.6,5.32,0.72,0.731,1269,287,1269,287
17,18,75,118,3.0,4.72,1.72,0.673,664,260,689,253
76,11,331,351,13.24,14.04,0.8,0.82,1234,396,1077,269
77,11,331,341,13.24,13.64,0.4,0.625,1142,309,1057,307
2,11,0,10,0.0,0.4,0.4,0.807,547,276,568,281
43,9,161,169,6.44,6.76,0.32,0.755,624,257,574,236
74,9,321,329,12.84,13.16,0.32,0.806,1155,324,1199,324
16,8,69,76,2.76,3.04,0.28,0.536,698,265,688,268
32,6,117,122,4.68,4.88,0.2,0.612,261,245,313,230
42,6,153,158,6.12,6.32,0.2,0.527,1125,292,1094,286
70,3,285,287,11.4,11.48,0.08,0.531,857,497,974,555
22,3,100,102,4.0,4.08,0.08,0.574,768,262,762,273
62,2,221,223,8.84,8.92,0.08,0.751,850,258,837,258
69,2,277,287,11.08,11.48,0.4,0.551,54,244,36,290
28,1,113,113,4.52,4.52,0.0,0.663,1189,301,1189,301
46,1,173,173,6.92,6.92,0.0,0.379,592,285,592,285
27,1,111,111,4.44,4.44,0.0,0.663,1208,298,1208,298
26,1,109,109,4.36,4.36,0.0,0.675,1225,296,1225,296
31,1,117,117,4.68,4.68,0.0,0.627,1157,298,1157,298
58,1,205,205,8.2,8.2,0.0,0.441,1271,269,1271,269
23,1,105,105,4.2,4.2,0.0,0.562,1256,296,1256,296
41,1,139,139,5.56,5.56,0.0,0.624,1212,277,1212,277
29,1,115,115,4.6,4.6,0.0,0.621,1172,300,1172,300
24,1,107,107,4.28,4.28,0.0,0.622,1242,297,1242,297
