track_id,frames_seen,duration_seconds,total_distance_pixels,avg_speed_pixels_per_second,max_speed_pixels_per_second,avg_confidence
7,222,9.2,2630.6,287.9,1068.0,0.871
1,138,5.48,1786.2,351.62,1566.25,0.884
50,86,4.0,1444.68,386.69,1701.65,0.852
36,167,7.84,1427.23,207.49,1325.94,0.832
47,46,1.8,1298.5,721.39,2055.48,0.848
71,63,2.48,808.41,325.97,850.0,0.925
4,185,7.76,683.67,95.05,391.31,0.807
39,82,3.92,628.77,167.02,764.85,0.829
48,20,0.76,557.46,733.51,1355.77,0.826
6,80,3.32,404.93,123.05,301.04,0.718
65,85,3.44,330.2,98.44,201.56,0.623
76,11,0.8,302.58,459.52,731.86,0.82
5,61,2.4,237.62,123.76,226.38,0.726
8,45,1.76,196.35,129.18,251.25,0.6
70,3,0.08,130.74,1634.29,2214.72,0.531
15,35,1.72,130.35,67.42,206.34,0.462
44,38,1.68,118.29,77.11,206.16,0.798
3,42,1.64,103.26,78.23,285.04,0.674
17,18,1.72,100.99,82.5,180.28,0.673
13,38,1.48,92.15,74.31,301.04,0.802
37,20,0.76,90.89,119.59,265.75,0.822
77,11,0.4,86.8,217.01,350.89,0.625
74,9,0.32,77.32,241.63,412.31,0.806
43,9,0.32,61.89,193.4,340.04,0.755
32,6,0.2,61.63,308.15,813.94,0.612
33,29,1.28,57.72,49.0,152.07,0.539
69,2,0.4,49.4,123.49,123.49,0.551
42,6,0.2,32.03,160.13,206.16,0.527
30,19,0.72,31.69,44.01,79.06,0.731
2,11,0.4,22.67,56.67,90.14,0.807
22,3,0.08,13.09,163.65,237.17,0.574
62,2,0.08,13.0,162.5,162.5,0.751
16,8,0.28,11.71,41.84,55.9,0.536
41,1,0.0,0.0,0.0,0.0,0.624
31,1,0.0,0.0,0.0,0.0,0.627
23,1,0.0,0.0,0.0,0.0,0.562
58,1,0.0,0.0,0.0,0.0,0.441
24,1,0.0,0.0,0.0,0.0,0.622
26,1,0.0,0.0,0.0,0.0,0.675
28,1,0.0,0.0,0.0,0.0,0.663
46,1,0.0,0.0,0.0,0.0,0.379
29,1,0.0,0.0,0.0,0.0,0.621
27,1,0.0,0.0,0.0,0.0,0.663
